"BachelorKurs","Count","Start","Ende"
"ACC 350 International Accounting [engl. Exp.]","6","20121","20142"
"ACC 351 International Accounting","5","20162","20202"
"ANA 301 Analysis für Wirtschaftsinformatiker","959","20111","20221"
"CC 302 Finanzmathematik","1","20152","20152"
"CC 305 Präsentationskompetenz und Rhetorik","1","20202","20202"
"Change- und Projektmanagement","698","20131","20212"
"CS 301 Formale Grundlagen der Informatik","1153","20102","20221"
"CS 302 Praktische Informatik I","1147","20102","20221"
"CS 303 Praktische Informatik II","879","20111","20221"
"CS 304 Programmierpraktikum I","871","20132","20212"
"CS 305 Programmierpraktikum II","664","20141","20221"
"CS 306 Praktikum Software Engineering","535","20151","20221"
"CS 307 Algorithmen und Datenstrukturen","765","20112","20221"
"CS 308 Softwaretechnik I","546","20151","20221"
"CS 309 Datenbanksysteme I","622","20121","20221"
"CS 403 Computer Networks","49","20122","20162"
"CS 404 Kryptographie I","88","20122","20221"
"CS 405 Künstliche Intelligenz","204","20122","20212"
"CS 406 Theoretische Informatik","47","20141","20221"
"CS 407 Betriebsysteme","1","20132","20132"
"CS 408 Selected Topics in IT-Security","166","20141","20221"
"CS 409 Distributed and Parallel Computing","2","20151","20151"
"CS 410 GPU-Programmierung","3","20202","20212"
"CS 414 Einführung in Data Science","74","20182","20212"
"CS 651 Cryptography II","2","20151","20151"
"CS 651 Kryptographie II","2","20151","20151"
"Dummy 1","101","20122","20221"
"Dummy 10","3","20192","20212"
"Dummy 2","44","20132","20212"
"Dummy 3","4","20192","20211"
"Dummy 4","1","20192","20192"
"E-Government: Implikationen, Wirkungsweisen und E-Democracy","3","20122","20122"
"FIN 301 Investments and Asset Pricing","1","20151","20151"
"Finanzwirtschaft","895","20112","20221"
"Fremdsprachen-/und interkulturelle Kompetenz","87","20112","20142"
"Grundlagen der Ökonometrie","1","20201","20201"
"Grundlagen der Statistik","681","20121","20221"
"Grundlagen der Volkswirtschaftslehre","386","20122","20212"
"Grundlagen des externen Rechnungswesens","709","20111","20221"
"IE 680 Human-Computer-Interaction: Fundamentals and Research Methods","3","20132","20132"
"Information Systems in the Service Industry","8","20122","20122"
"Interkulturelle Kompetenz in einer globalisierten Welt","1","20151","20151"
"Interkulturelle Sensibilisierung","66","20132","20141"
"Interkulturelle Sensibilisierung: China und Ostasien","1","20152","20152"
"International Course I","1","20152","20152"
"Internes Rechnungswesen","795","20111","20221"
"IS 201 Wirtschaftsinformatik I: Einführung und Grundlagen","1164","20102","20221"
"IS 202 Wirtschaftsinformatik II","437","20111","20171"
"IS 202a Wirtschaftsinformatik IIa: Einführung in die Modellierung I: Logik","532","20171","20221"
"IS 202b Wirtschaftsinformatik IIb: Einführung in die Modellierung II: Prozessmodelle","537","20171","20221"
"IS 203 Wirtschaftsinformatik III: Development and Management of Information Systems","818","20112","20221"
"IS 204 Wirtschaftsinformatik IV","685","20121","20221"
"IS 403 Object Data Management","9","20122","20132"
"IS 404 Banking und IT-Management","53","20122","20152"
"IS 405 Integrated Information Systems","215","20132","20212"
"Kolloquium","123","20131","20162"
"Kolloquium zur Abschlussarbeit","1","20172","20172"
"Kommunikation im Team","67","20171","20201"
"Kommunikations-und Gesprächstraining","24","20211","20221"
"Konfliktmanagement","101","20171","20221"
"Makroökonomik A / Macroeconomics A","4","20131","20151"
"MAN 301 Strategic and International Management","2","20122","20162"
"MAN 401 Organization and Human Resources Management","33","20122","20151"
"MAN 455 Digital Social Innovation Lab ""Young Academy""","1","20201","20201"
"Management","721","20121","20221"
"Marketing","774","20102","20221"
"MAS 514 Stochastische Prozesse","1","20181","20181"
"MAT 301 Analysis I","1","20132","20132"
"MAT 302 Analysis II","3","20131","20132"
"MAT 303 Lineare Algebra I","834","20112","20212"
"MAT 304 Lineare Algebra II/A","2","20132","20161"
"MAT 306 Numerik","2","20132","20141"
"Mikroökonomik A / Microeconomics A","2","20132","20151"
"MKT 401 Marketing II","5","20131","20141"
"OPM 301 Operations Management","1","20122","20122"
"Präsentation und Rhetorik","1","20162","20162"
"Präsentationskompetenz und Rhetorik","613","20122","20221"
"Produktion","909","20102","20221"
"Programmierkurs C/C++","84","20171","20221"
"Programmierkurs in C","5","20131","20161"
"Recht","67","20122","20212"
"Selected Topics in IT-Security","7","20131","20131"
"SM 441 Seminar","199","20121","20182"
"SM 442 Seminar","49","20162","20202"
"SM 443 Seminar","16","20182","20212"
"SM 444 Seminar","1","20202","20202"
"SM 445 Seminar","13","20171","20212"
"SM 446 Seminar","67","20162","20212"
"SM 448 Seminar","19","20172","20212"
"SM 449 Seminar","43","20162","20221"
"SM 450 Seminar","46","20162","20221"
"SM 452 Seminar","22","20171","20221"
"SM 453 Seminar","29","20171","20211"
"SM 454 Seminar","54","20172","20212"
"SM 456 Seminar","8","20202","20221"
"SM 457 Seminar","27","20202","20221"
"Softwaretechnik I und Praktikum","146","20121","20161"
"Splinefunktionen","1","20141","20141"
"Sprachkurs","116","20161","20221"
"TAX 350 International Taxation","2","20121","20122"
"Theoretische Informatik","1","20131","20131"
"VL Wirtschaftsinformatik für BaKuWi","1","20172","20172"
"Zeit-/ und Selbstmanagement","305","20111","20162"
"Zeitmanagement","627","20152","20212"
